local time,activity,source activity,duration(s),distance(m),calories(kcal),steps,avg speed(m/s),max speed(m/s),avg heartrate,max heartrate,avg cadence,max cadence,avg power,max power,elevationgain(m)
2025-03-11 17:02:16,Walking,Walking,3491.89,5382.81,341,6326,1.54,1.87,100,109,52,59,0,0,19
2025-03-11 16:33:08,Walking,Walking,1004.54,1585.6,110,1834,1.58,1.78,108,127,55,59,0,0,7
2025-03-11 16:25:08,Running,Running,477.32,1245.62,100,1312,2.61,3.33,146,162,83,129,246,418,8
2025-03-11 13:18:44,Indoor Sport & Fitness,Flexibility,1488.46,0,126,0,0,0,81,117,0,0,0,0,0
2025-03-10 08:04:47,Indoor Sport & Fitness,Flexibility,1247.98,0,101,0,0,0,76,111,0,0,0,0,0
2025-03-10 06:45:41,Walking,Walking,1458.61,2373.23,141,2556,1.63,1.78,94,146,50,58,0,0,4
2025-03-10 06:29:34,Running,Running,963.08,2494.86,205,2699,2.59,3.3,134,147,84,94,245,428,16
2025-03-09 10:35:14,Running,Running,3068.06,8486.58,739,8402,2.77,4.21,158,181,82,118,255,465,29
2025-03-08 21:16:36,Walking,Walking,2113.72,3468.92,210,4012,1.64,1.81,101,115,56,59,0,0,15
2025-03-08 16:11:04,Hiking,Hiking,4423.74,4165.98,397,5801,0.94,1.38,96,134,39,49,0,0,116
2025-03-07 17:48:08,Running,Running,5797.89,15596.97,1309,16091,2.69,3.91,150,169,84,98,253,449,49
2025-03-06 16:44:29,Walking,Walking,5491.65,8797.4,514,10209,1.6,1.84,93,116,55,58,0,0,36
2025-03-05 08:15:36,Indoor Sport & Fitness,Flexibility,2938.07,0,245,0,0,0,85,126,0,0,0,0,0
2025-03-05 06:40:49,Running,Running,2645.91,7565.82,632,7382,2.86,3.97,159,182,84,94,263,433,19
2025-03-04 07:41:43,Indoor Sport & Fitness,Flexibility,1342.39,0,111,0,0,0,79,117,0,0,0,0,0
2025-03-04 06:39:45,Walking,Walking,1207.54,1871.22,129,2097,1.55,1.82,102,169,49,56,0,0,5
2025-03-04 06:04:31,Running,Running,2105.7,5069.01,432,5837,2.41,3.78,136,156,83,105,229,380,17
2025-03-03 20:05:48,Running,Running,2504.81,7152.39,586,7144,2.86,3.67,154,177,86,94,270,481,22
2025-03-03 06:54:46,Indoor Sport & Fitness,Flexibility,1527.35,0,125,0,0,0,85,122,0,0,0,0,0
2025-03-02 19:38:13,Running,Running,2896.16,7648.73,623,8247,2.64,3.94,147,169,86,106,249,434,24
2025-03-02 17:04:17,Walking,Walking,4074.91,6488.88,386,7685,1.59,1.84,102,126,56,59,0,0,28
2025-03-01 07:10:49,Running,Running,3516.91,10246.57,872,10058,2.91,3.74,163,180,86,140,273,448,37
2025-02-28 17:02:15,Walking,Walking,6329.47,10258.79,579,11872,1.62,1.89,95,105,56,58,0,0,14
2025-02-27 19:42:35,Walking,Walking,1112.85,1748.82,120,2059,1.57,1.84,108,176,56,61,0,0,2
2025-02-27 19:09:27,Running,Running,1978.95,5063.3,396,5568,2.56,3.76,140,173,84,94,240,393,17
2025-02-26 07:27:47,Walking,Walking,1264.85,2022.21,119,2398,1.6,1.84,104,172,56,60,0,0,2
2025-02-26 06:54:39,Running,Running,1979.71,5071.65,407,5527,2.56,3.93,140,177,84,118,241,401,17
2025-02-25 08:06:17,Indoor Sport & Fitness,Flexibility,1488.18,0,121,0,0,0,84,105,0,0,0,0,0
2025-01-23 06:27:26,Weight Training,strength_training,3799.9,0,375,0,0,0,109,159,0,0,0,0,0
2025-01-22 05:58:50,Running,running,3048.06,8613.34,722,8496,2.83,4.04,157,186,84,99,336,577,34
2025-01-21 05:58:28,Weight Training,strength_training,3896.11,0,238,0,0,0,93,124,0,0,0,0,0
2025-01-20 09:47:33,Running,running,7991.77,21418.43,1764,22772,2.68,3.31,151,174,86,91,325,523,93
2025-01-18 08:07:09,Weight Training,strength_training,3373.3,0,365,0,0,0,113,148,0,0,0,0,0
2025-01-17 06:11:49,Running,running,5085.81,13243.75,1114,14192,2.6,3.57,149,175,84,88,317,504,53
2025-01-16 06:13:26,Weight Training,strength_training,3849.65,0,416,0,0,0,118,155,0,0,0,0,0
2025-01-15 06:10:01,Running,running,2688.33,7685.7,636,7374,2.86,4,159,185,83,94,345,555,31
2025-01-14 06:26:34,Weight Training,strength_training,3968.54,0,342,0,0,0,110,151,0,0,0,0,0
2025-01-13 06:54:32,Walking,walking,838.28,1539.5,114,1726,1.84,2.44,116,126,62,68,0,0,5
2025-01-13 06:06:58,Running,running,2534.28,6598.23,546,6718,2.6,5.36,147,181,81,109,305,762,30
2025-01-11 09:48:48,Stair Climbing,stair_climbing,3418.12,0,695,5128,0,0,144,175,57,66,0,0,0
2025-01-10 06:07:47,Weight Training,strength_training,4721.68,0,347,0,0,0,98,137,0,0,0,0,0
2025-01-09 05:49:26,Running,running,4276.67,10992.69,932,12030,2.57,3.13,149,163,85,88,313,489,46
2025-01-08 05:54:20,Weight Training,strength_training,4247.42,0,412,0,0,0,114,164,0,0,0,0,0
2025-01-07 05:21:21,Running,running,4679.96,12662.54,1068,13334,2.71,3.87,157,176,86,93,330,531,52
2025-01-06 06:04:03,Weight Training,strength_training,3112.7,0,222,0,0,0,94,133,0,0,0,0,0
2025-01-05 07:28:51,Running,running,4885.71,12631.66,1071,13656,2.59,3.86,151,184,84,95,319,512,55
2025-01-04 05:25:31,Weight Training,strength_training,3379.76,0,186,0,0,0,92,124,0,0,0,0,0
2025-01-03 05:42:36,Running,running,6192.92,16164.57,1343,17262,2.61,3.79,147,171,84,88,325,528,70
2025-01-02 05:23:56,Weight Training,strength_training,3702.52,0,266,0,0,0,94,147,0,0,0,0,0
2025-01-01 13:57:31,Running,running,3560.74,10375.35,856,10282,2.91,3.46,160,176,87,91,356,530,47
2024-12-30 09:35:39,Running,running,4978.94,13278.69,1096,13982,2.67,3.76,153,179,85,92,329,479,146
2024-12-28 21:45:12,Running,running,2960.16,8575.71,727,8508,2.9,3.37,164,181,87,90,355,555,78
2024-12-27 22:09:14,Indoor Cycling,indoor_cycling,752.58,0,150,0,0,0,136,147,0,0,0,0,0
2024-12-27 21:45:01,Weight Training,strength_training,1341.99,0,122,2,0,0,107,137,0,0,0,0,0
2024-12-26 10:38:20,Running,running,6187.37,15802.6,1312,16986,2.55,3.65,151,181,83,91,319,567,133
2024-12-25 16:26:39,Walking,walking,2706.81,3588.84,318,4984,1.33,1.47,130,143,55,62,0,0,359
2024-12-25 15:36:55,Weight Training,strength_training,2735.66,0,253,0,0,0,104,137,0,0,0,0,0
2024-12-24 14:41:15,Running,running,3562.54,10329.67,887,10218,2.9,3.5,169,187,87,91,359,545,86
2024-12-23 18:41:11,Weight Training,strength_training,2235.35,0,190,0,0,0,100,135,0,0,0,0,0
2024-12-23 17:56:15,Treadmill Running,treadmill_running,2513.97,3717.58,383,4726,1.48,1.65,126,138,56,59,145,237,371
2024-12-22 11:37:58,Running,running,4277.91,10400.35,868,11786,2.43,3.88,146,180,83,96,301,512,91
2024-12-21 13:44:53,Hiking,hiking,2106.86,3572.74,447,4174,1.7,0,143,156,59,65,0,0,357
2024-12-21 12:52:37,Weight Training,strength_training,2599.11,0,125,0,0,0,96,126,0,0,0,0,0
2024-12-20 12:16:34,Running,running,5427.73,14792.92,1264,15234,2.72,3.31,160,178,85,89,345,509,144
2024-12-19 15:01:16,Walking,walking,3147.29,5728.21,420,6406,1.82,2,110,133,61,64,0,0,50
2024-12-19 11:12:48,Weight Training,strength_training,2648.08,0,237,0,0,0,103,128,0,0,0,0,0
2024-12-18 12:50:02,Running,running,3070.59,8590.92,748,8660,2.8,3.3,164,186,85,88,353,496,70
2024-12-13 12:00:29,Running,running,3634.45,10399.76,923,10518,2.86,3.46,168,186,87,89,348,564,48
2024-12-11 18:06:28,Running,running,3014.58,8625.85,729,8620,2.86,3.27,170,182,86,89,317,490,37
2024-12-09 19:39:40,Walking,walking,1459.89,2381.25,189,2724,1.63,1.81,116,128,51,60,0,0,11
2024-12-09 19:06:27,Running,running,1757.3,4995.19,441,4906,2.84,3.55,171,190,84,129,263,451,14
2024-12-08 17:06:14,Walking,walking,4112.63,6454.22,378,7686,1.57,1.82,105,135,56,58,0,0,29
2024-12-07 12:07:19,Running,running,3722.9,10245.36,850,10360,2.75,3.23,161,173,83,88,255,447,36
2024-12-05 17:00:19,Walking,walking,4299.5,6827.82,401,7976,1.59,1.84,104,137,55,58,0,0,25
2024-12-04 18:39:58,Running,running,3905.77,10253.08,835,11710,2.62,3.09,154,168,79,87,243,453,36
2024-12-03 17:02:24,Walking,walking,4036.96,6342.91,376,7304,1.57,1.86,103,126,53,58,0,0,31
2024-12-02 19:24:13,Walking,walking,909.32,1658.72,110,1772,1.82,2.03,118,124,57,61,0,0,4
2024-12-02 18:44:00,Running,running,2207.02,5950.77,500,8028,2.7,3.41,159,170,80,88,250,471,17
2024-12-01 17:02:23,Walking,walking,3923.86,6229.24,360,7468,1.59,1.84,99,124,57,60,0,0,27
2024-11-30 21:40:14,Running,running,1429.11,3555.92,283,3554,2.49,3.39,138,165,75,98,231,297,9
2024-11-30 21:12:48,Running,running,1260.08,3441.02,279,3420,2.73,3.75,151,179,82,102,259,433,10
2024-11-29 17:03:49,Walking,walking,3810.01,6036.88,359,7168,1.58,1.81,97,119,56,59,0,0,28
2024-11-28 15:05:36,Running,running,1082.22,2670.69,202,2856,2.47,3.2,142,151,79,101,224,416,14
2024-11-28 14:29:05,Walking,walking,1939.83,3314.62,228,3704,1.71,1.93,111,122,53,59,0,0,7
2024-11-28 14:01:44,Running,running,1435.11,4346.29,332,3996,3.03,3.69,164,178,84,153,270,447,9
2024-11-27 17:02:51,Walking,walking,3713.15,5949.16,338,7038,1.6,1.81,100,127,57,58,0,0,10
2024-11-25 17:06:33,Walking,walking,3938.65,6346.76,376,7368,1.61,1.82,112,134,56,59,0,0,27
2024-11-13 10:09:12,Kite Surfing,wind_kite_surfing,4241.9,0,583,0,0,0,121,150,0,0,0,0,0
2024-11-10 11:42:22,Swimming,swimming,537.06,78.14,114,340,0.23,2.84,146,158,31,37,0,0,0
2024-11-10 10:08:25,Sailing,boating_v2,3875.4,4531.46,604,0,1.17,1.56,118,143,0,0,0,0,4
2024-11-05 13:23:47,Walking,walking,1454.76,1857.59,115,2272,1.28,1.78,111,123,44,52,0,0,6
2024-11-05 12:12:39,Walking,walking,972.99,1536.89,99,1688,1.58,2.45,115,122,44,57,0,0,2
2024-11-01 10:33:26,Treadmill Running,treadmill_running,2191.53,6451,540,6328,2.94,4.08,155,184,87,100,0,0,0
2024-10-31 00:50:22,Walking,walking,2025.46,3373,180,3596,1.66,1.7,103,110,51,58,0,0,0
2024-10-31 00:01:06,Treadmill Running,treadmill_running,2645.36,7625,608,7492,2.88,3.25,154,177,85,91,0,0,0
2024-10-30 23:16:40,Walking,walking,2171.2,3371,234,3704,1.55,1.58,89,98,49,56,0,0,0
2024-10-30 16:59:54,Walking,walking,3944.38,6405.96,389,7166,1.62,1.84,101,113,53,58,0,0,22
2024-10-29 19:34:55,Running,running,2413.77,7153.71,586,10892,2.96,4.17,156,179,84,104,269,475,17
2024-10-28 18:44:48,Walking,walking,2498.57,4156.98,261,4620,1.66,1.86,95,111,54,59,0,0,12
2024-10-28 17:00:38,Walking,walking,4297.71,6962.32,402,8084,1.62,1.93,100,120,56,59,0,0,26
2024-10-27 11:56:06,Walking,walking,3097.88,5718.67,454,5966,1.85,2.23,112,122,56,63,0,0,13
2024-10-27 11:22:35,Running,running,1740.08,5211.75,427,4916,2.99,3.75,161,177,85,141,273,467,13
2024-10-26 17:02:15,Walking,walking,6351.27,10246.12,750,11326,1.61,1.92,103,137,53,59,0,0,44
2024-10-25 20:53:59,Walking,walking,5038.55,8110.74,509,9242,1.61,1.81,90,121,54,57,0,0,24
2024-10-24 20:17:55,Running,running,4750.09,12521.84,1014,22814,2.64,3.32,148,170,81,97,239,437,42
2024-10-23 16:49:45,Walking,walking,6031.31,8894.19,456,10936,1.48,1.73,91,103,54,56,0,0,2
2024-10-22 19:26:10,Running,running,1610.24,5081.17,402,4732,3.16,3.76,170,177,88,94,285,471,11
2024-10-21 17:05:35,Walking,walking,4478.17,7322.08,537,8540,1.63,1.95,93,109,57,61,0,0,29
2024-10-20 11:17:25,Walking,walking,4314.86,7550.29,599,8348,1.75,2.41,107,125,58,61,0,0,23
2024-10-20 10:56:27,Running,running,1146.48,3407,274,3270,2.97,3.67,164,176,86,137,270,436,10
2024-10-19 17:06:01,Walking,walking,7572.84,12085.55,704,13884,1.6,1.83,100,130,54,58,0,0,33
2024-10-18 20:07:21,Walking,walking,3605.4,5824.85,433,6654,1.62,1.82,95,121,55,57,0,0,16
2024-10-18 19:26:09,Running,running,2257.53,6514.01,541,8120,2.88,4.05,156,184,83,94,260,463,11
2024-10-17 17:00:35,Walking,walking,4368.98,6873.1,418,8122,1.57,1.75,92,103,54,57,0,0,4
2024-10-16 07:02:13,Walking,walking,988.56,1611.3,118,1744,1.63,1.81,109,115,46,55,0,0,6
2024-10-16 06:13:43,Running,running,2634.74,7563.74,636,9036,2.87,3.49,159,177,84,101,260,425,15
2024-10-15 17:02:29,Walking,walking,4636.62,7195.03,478,8128,1.55,1.78,94,124,52,55,0,0,27
2024-10-14 19:06:14,Walking,walking,2904.19,4630.39,344,5242,1.59,1.8,98,129,53,56,0,0,23
2024-10-14 18:09:53,Running,running,3371.59,8500.51,711,16206,2.52,2.95,142,154,80,87,228,413,22
2024-10-13 17:01:35,Walking,walking,7744.52,12452.05,698,14430,1.61,1.82,97,126,56,58,0,0,22
2024-10-12 13:50:43,Walking,walking,5983.41,10213.12,818,11490,1.71,2.29,109,140,57,59,0,0,26
2024-10-12 13:40:01,Running,running,609.92,1685.91,137,1726,2.76,3.85,151,164,85,94,254,439,6
2024-10-11 16:57:02,Walking,walking,5855.54,9516.36,605,10726,1.62,1.95,95,107,54,57,0,0,9
2024-10-10 19:17:41,Walking,walking,5125.05,8660.85,644,9656,1.69,1.99,99,129,56,60,0,0,25
2024-10-10 18:55:59,Running,running,1269.99,3508.8,279,3566,2.76,3.58,151,165,85,118,253,482,37
2024-10-09 16:46:46,Walking,walking,8378.85,14094.47,864,15698,1.68,2.12,105,130,55,62,0,0,42
2024-10-08 20:06:31,Walking,walking,6101.19,9861.61,655,11482,1.62,1.83,103,132,56,58,0,0,25
2024-10-07 16:49:45,Walking,walking,5625.23,9055.45,550,10276,1.61,1.81,96,126,55,57,0,0,35
2024-10-06 10:59:56,Walking,walking,4200.48,7331.06,583,7876,1.75,2.14,107,137,55,59,0,0,18
2024-10-06 10:03:25,Weight Training,strength_training,2394.24,0,377,0,0,0,123,156,0,0,0,0,0
2024-10-05 12:59:05,Running,running,5768.6,15601.92,1397,29972,2.7,3.43,165,178,83,92,246,448,53
2024-10-04 16:58:28,Walking,walking,6870.48,11426.83,636,12804,1.66,2.33,99,109,56,58,0,0,6
2024-10-03 19:43:21,Walking,walking,2988.38,4887.62,318,5442,1.64,1.97,89,118,53,59,0,0,17
2024-10-02 16:54:49,Walking,walking,5624.41,9037.14,494,10556,1.61,1.78,91,105,55,58,0,0,11
2024-10-01 17:26:13,Running,running,2646.41,7653.18,626,10612,2.89,3.63,159,177,81,88,260,306,5
2024-09-30 16:57:15,Walking,walking,4380.2,6961.54,381,7970,1.59,1.87,91,106,53,58,0,0,8
2024-09-29 05:54:50,Running,running,3843.06,10239.96,818,10646,2.66,3.39,144,158,83,88,241,429,28
2024-09-28 17:08:34,Walking,walking,4123.7,6728.86,447,7624,1.63,1.83,94,123,54,60,0,0,23
2024-09-27 13:15:00,Other,other,2460,0,0,0,0,0,131,161,0,0,0,0,0
2024-09-27 06:43:34,Running,running,2354.11,5606.85,447,7902,2.38,3.55,138,165,72,122,212,412,12
2024-09-27 06:03:30,Running,running,2005.08,5359.78,426,7810,2.67,3.48,146,171,82,96,241,414,19
2024-09-26 16:54:33,Walking,walking,4683.61,7580.8,499,8558,1.62,2.12,88,115,54,59,0,0,32
2024-09-25 06:28:19,Running,running,3209.56,8487.63,701,14492,2.64,3.14,146,158,82,97,234,429,25
2024-09-24 07:08:36,Walking,walking,1272.05,2052.25,149,2304,1.61,1.79,104,124,54,57,0,0,4
2024-09-24 06:24:42,Running,running,2367.19,6515.01,488,7940,2.75,3.37,144,159,82,90,242,412,19
2024-09-23 16:58:00,Walking,walking,5358.66,8481.7,600,9662,1.58,1.8,91,117,53,57,0,0,35
2024-09-22 09:00:51,Running,running,4738.87,12037.74,966,15170,2.54,3.76,146,169,75,135,220,465,40
2024-09-21 16:34:56,Walking,walking,7735.88,13310.04,788,15212,1.72,2.11,97,130,56,60,0,0,34
2024-09-20 16:57:53,Walking,walking,5209.41,8581.2,600,9538,1.65,1.85,95,118,55,58,0,0,37
2024-09-19 06:27:24,Running,running,3345.51,8490.94,636,15130,2.54,3.68,134,159,74,91,218,428,26
2024-09-18 16:49:58,Walking,walking,5129.71,8376.46,486,9642,1.63,1.83,92,104,56,58,0,0,8
2024-09-17 06:17:28,Running,running,3957.08,9623.17,741,17354,2.43,3.94,133,159,74,90,209,465,29
2024-09-16 17:01:56,Walking,walking,5304.57,8611.17,471,9868,1.62,1.89,96,108,56,58,0,0,5
2024-09-15 10:55:54,Walking,walking,2207.11,3703.56,290,4174,1.68,1.91,108,131,56,58,0,0,15
2024-09-15 10:02:07,Running,running,2955.25,7725.76,609,12194,2.61,4.57,143,173,72,91,226,447,25
2024-09-14 20:33:41,Walking,walking,2469.14,4048.14,315,4528,1.64,1.9,105,157,56,68,0,0,8
2024-09-14 20:08:37,Running,running,1502.12,4012.86,332,4100,2.67,3.44,152,162,82,88,235,410,12
2024-09-13 17:02:30,Walking,walking,4343.07,7059.76,395,7984,1.63,1.82,96,123,54,58,0,0,26
2024-09-12 06:43:08,Walking,walking,2637.92,4603.47,352,5030,1.75,1.97,114,161,58,59,0,0,12
2024-09-12 06:18:45,Running,running,1460.99,3998.32,327,5286,2.74,3.18,156,166,83,91,242,426,7
2024-09-11 17:04:54,Walking,walking,6418.7,10456.05,636,11922,1.63,1.99,90,116,56,60,0,0,37
2024-09-10 05:59:50,Walking,walking,5366.71,9146.47,527,10176,1.7,2.21,94,113,56,59,0,0,26
2024-09-09 21:13:14,Walking,walking,934.06,1530.2,91,1672,1.64,1.86,94,105,54,57,0,0,8
2024-09-09 17:04:54,Walking,walking,4397.54,6991.16,406,8080,1.59,1.85,98,125,54,58,0,0,25
2024-09-08 11:43:21,Walking,walking,3752.51,6515,392,7266,1.74,1.94,103,131,56,61,0,0,57
2024-09-08 10:17:06,Walking,walking,4895.08,8497.46,492,9794,1.74,1.94,102,125,56,62,0,0,20
2024-09-07 18:52:36,Walking,walking,6810.84,11570.84,707,13082,1.7,1.95,107,137,57,59,0,0,33
2024-09-06 16:58:31,Walking,walking,5962.94,9803.66,639,10768,1.64,1.85,100,113,54,57,0,0,8
2024-09-05 18:23:54,Stair Climbing,stair_climbing,1558.86,0,333,1972,0,1.44,143,160,34,45,0,0,0
2024-09-05 17:53:45,Walking,walking,1712.9,2969.4,176,3262,1.73,1.85,94,104,54,60,0,0,0
2024-09-04 19:05:43,Walking,walking,7567.69,12838.91,777,13998,1.7,1.93,112,140,53,58,0,0,32
2024-09-03 17:01:50,Walking,walking,3319.49,5198.64,345,5994,1.57,1.76,100,108,53,57,0,0,6
2024-09-02 09:17:16,Hiking,hiking,8209.66,6587.94,575,0,0.8,0,0,0,0,0,0,0,0
2024-09-01 15:38:05,Walking,walking,6320.43,11130.25,777,0,1.76,0,0,0,0,0,0,0,0
2024-08-31 10:43:03,Sailing,boating_v2,8609,0,699,0,0,0,0,0,0,0,0,0,0
2024-08-30 17:46:03,Walking,walking,3922.2,6386.82,486,0,1.63,0,0,0,0,0,0,0,0
2024-08-29 06:55:00,Walking,walking,2341.51,4160.77,308,0,1.78,0,0,0,0,0,0,0,0
2024-08-29 06:37:08,Running,running,1071.12,2731.36,237,0,2.55,0,0,0,0,0,0,0,0
2024-08-28 17:04:24,Walking,walking,3494,5765.63,356,0,1.65,0,0,0,0,0,0,0,0
2024-08-28 06:30:27,Walking,walking,3763.29,6544.01,404,0,1.74,0,0,0,0,0,0,0,0
2024-08-27 05:16:39,Walking,walking,4611.19,8014.58,584,0,1.74,0,0,0,0,0,0,0,0
2024-08-27 04:59:20,Running,running,1037.13,2811.94,224,0,2.71,0,0,0,0,0,0,0,0
2024-08-26 16:59:49,Walking,walking,4064.78,6455.65,444,0,1.59,0,0,0,0,0,0,0,0
2024-08-25 09:29:28,Walking,walking,7582.93,13483.09,909,0,1.78,0,0,0,0,0,0,0,0
2024-08-24 07:51:05,Walking,walking,1494.16,2489.42,194,0,1.67,0,0,0,0,0,0,0,0
2024-08-24 07:20:16,Running,running,1842.5,4914.87,428,0,2.67,0,0,0,0,0,0,0,0
2024-08-23 20:24:49,Stair Climbing,stair_climbing,385.84,0,43,0,0,0,0,0,0,0,0,0,0
2024-08-23 17:02:37,Walking,walking,4354.45,7025.61,393,0,1.61,0,0,0,0,0,0,0,0
2024-08-22 06:08:50,Walking,walking,1526.07,2494.15,194,0,1.63,0,0,0,0,0,0,0,0
2024-08-22 05:26:26,Running,running,2538.03,6478.9,601,0,2.55,0,0,0,0,0,0,0,0
2024-08-21 17:00:45,Walking,walking,4097.36,6305.97,356,0,1.54,0,0,0,0,0,0,0,0
2024-08-20 06:15:01,Running,running,4193.12,10923.13,973,0,2.61,0,0,0,0,0,0,0,0
2024-08-19 18:25:00,Walking,walking,1702.3,2792.03,184,0,1.64,0,0,0,0,0,0,0,0
2024-08-19 17:48:22,Weight Training,strength_training,1922.36,0,194,0,0,0,0,0,0,0,0,0,0
2024-08-18 16:54:38,Walking,walking,5757.62,9285.65,709,0,1.61,0,0,0,0,0,0,0,0
2024-08-17 09:14:09,Walking,walking,2692.67,4621.31,369,0,1.72,0,0,0,0,0,0,0,0
2024-08-17 08:20:27,Running,running,3220.4,8023.48,705,0,2.49,0,0,0,0,0,0,0,0
2024-08-16 17:01:21,Walking,walking,4145.67,6691.38,437,0,1.61,0,0,0,0,0,0,0,0
2024-08-15 07:10:56,Walking,walking,205.37,338.88,27,0,1.65,0,0,0,0,0,0,0,0
2024-08-15 06:01:10,Running,running,4185.23,10536.89,921,0,2.52,0,0,0,0,0,0,0,0
2024-08-14 17:02:33,Walking,walking,3341.65,5391.49,392,0,1.61,0,0,0,0,0,0,0,0
2024-08-14 06:25:42,Weight Training,strength_training,3905.98,0,349,0,0,0,0,0,0,0,0,0,0
2024-08-13 07:21:47,Walking,walking,516.71,882.29,67,0,1.71,0,0,0,0,0,0,0,0
2024-08-13 06:03:13,Running,running,4670.42,11683.23,999,0,2.5,0,0,0,0,0,0,0,0
2024-08-12 19:40:56,Weight Training,strength_training,3200.67,0,346,0,0,0,0,0,0,0,0,0,0
2024-08-12 17:08:06,Walking,walking,3388.25,5357.77,292,0,1.58,0,0,0,0,0,0,0,0
2024-08-11 21:18:10,Walking,walking,3723.26,6214.84,379,0,1.67,0,0,0,0,0,0,0,0
